科號,課程中文名稱,課程英文名稱,學分數,人限,新生保留人數,通識對象,通識類別,授課語言,備註,停開註記,教室與上課時間,授課教師,擋修說明,課程限制說明,第一二專長對應,學分學程對應,不可加簽說明,必選修說明
11110CHE 241001,物理化學一,Physical Chemistry (I),3,30,0, ,,中,本課上150分鐘，其餘時間由教授視情形彈性運用。,,"CHE化工 211	M3M4W1W2
","段興宇	TUAN, HSING-YU
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>曾修普通化學一<BR>曾修普通化學二<BR><br>上述條件一定要有，而且<br><BR>曾修微積分二<BR>曾修微積分Ｂ二<BR>曾修微積分二(數學系)<BR>曾修微積分Ａ二<BR><br>上述條件任選一科，則不擋修。</div>",化工系大學部優先，第3次選課起開放全校修習,環境科技學程(第二專長),,,化工系110B  必修	
11110CHE 241002,物理化學一,Physical Chemistry (I),3,30,0, ,,英,本課上150分鐘，其餘時間由教授視情形彈性運用。,,"CHE化工 212	M3M4W1W2
","王潔	WANG, JANE
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>曾修普通化學一<BR>曾修普通化學二<BR><br>上述條件一定要有，而且<br><BR>曾修微積分二<BR>曾修微積分Ｂ二<BR>曾修微積分二(數學系)<BR>曾修微積分Ａ二<BR><br>上述條件任選一科，則不擋修。</div>",化工系大學部優先，第3次選課起開放全校修習,環境科技學程(第二專長),,,化工系110B  必修	
11110CHE 301000,能源科技與環境概論,Introduction to Energy Technology and Environment,2,67,0, ,,中, ,,"CHE化工 B18	T7T8
","段興宇	TUAN, HSING-YU
",,工學院優先，第3次選課起開放全校修習,,(跨領域)先進能源研究生學分學程,,化工系109B  選修	
11110CHE 303001,化工熱力學,Chemical Engineering Thermodynamics,3,35,0, ,,英,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 211	T3T4R4
","陳信文	CHEN, SINN-WEN
",,,化學工程(第二專長)	化學工程(第一專長),,,化工系109B  必修	
11110CHE 303002,化工熱力學,Chemical Engineering Thermodynamics,3,35,0, ,,中,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 212	T3T4R4
","何榮銘	HO, RONG-MING
",,,化學工程(第二專長)	化學工程(第一專長),,,化工系109B  必修	
11110CHE 307001,化學反應工程,Chemical Reaction Engineering,3,35,0, ,,中,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 209	W3W4F4
","胡啟章	HU, CHI-CHANG
",,,化學工程(第二專長)	化學工程(第一專長),,,化工系109B  必修	
11110CHE 307002,化學反應工程,Chemical Reaction Engineering,3,35,0, ,,英,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 210	W3W4F4
","楊東翰	YANG, TUNG-HAN
",,,化學工程(第二專長)	化學工程(第一專長),,,化工系109B  必修	
11110CHE 309001,儀器分析及實驗一,Instrumental Analysis and Lab.(I),3,30,0, ,,英,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工202	W6W7W8W9
","堀江正樹	MASAKI HORIE
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>物理化學一-成績需D以上<BR>物理化學上-成績需D以上<BR><br>上述條件任選一科，而且<br><BR>物理化學二-成績需D以上<BR>物理化學下-成績需D以上<BR><br>上述條件任選一科，則不擋修。</div>",限化工系大學部3年級,,(跨領域)生物產業技術學分學程,,化工系109B  必修	
11110CHE 309002,儀器分析及實驗一,Instrumental Analysis and Lab.(I),3,30,0, ,,中,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工202	R6R7R8R9
","劉英麟	LIU, YING-LING
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>物理化學一-成績需D以上<BR>物理化學上-成績需D以上<BR><br>上述條件任選一科，而且<br><BR>物理化學二-成績需D以上<BR>物理化學下-成績需D以上<BR><br>上述條件任選一科，則不擋修。</div>",限化工系大學部3年級,,(跨領域)生物產業技術學分學程,,化工系109B  必修	
11110CHE 352001,輸送現象及單元操作一,Transport Phenomena and Unit Operations(I),3,35,0, ,,英,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 209	M3M4W1W2
","黃振煌	HUANG, JEN-HUANG
","<div>
  擋修對象 : 大學部 <br>
  先修科目 : <BR><BR>工程數學二-成績需D以上<BR>工程數學一-成績需D以上<BR><br>上述條件一定要有，則不擋修。</div>",,化學工程(第二專長)	化學工程(第一專長),,,化工系109B  必修	
11110CHE 352002,輸送現象及單元操作一,Transport Phenomena and Unit Operations(I),3,35,0, ,,中,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 210	M3M4W1W2
","陳信龍	CHEN, HSIN-LUNG
","<div>
  擋修對象 : 大學部 <br>
  先修科目 : <BR><BR>工程數學二-成績需D以上<BR>工程數學一-成績需D以上<BR><br>上述條件一定要有，則不擋修。</div>",,化學工程(第二專長)	化學工程(第一專長),,,化工系109B  必修	
11110CHE 412000,材料科學,Materials Science,3,,0, ,,英,本課程上150分鐘，其餘時間由教授彈性運用,,"CHE化工 210	T1T2R1R2
","陳信文	CHEN, SINN-WEN
",,,,,,化工系108B  選修	
11110CHE 415001,程序設計,Process Design,3,30,0, ,,中,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 209	F7F8F9
","汪上曉	WONG, SHANG-HSIAO
","<div>
  擋修對象 : 大學部 <br>
  先修科目 : <BR><BR>化工單操-成績需D以上<BR><br>上述條件一定要有，則不擋修。</div>",,化學工程(第二專長)	化學工程(第一專長),,,化工系108B  必修	
11110CHE 415002,程序設計,Process Design,3,30,0, ,,英,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 210	F7F8F9
","林育正	YU-JENG LIN
","<div>
  擋修對象 : 大學部 <br>
  先修科目 : <BR><BR>化工單操-成績需D以上<BR><br>上述條件一定要有，則不擋修。</div>",,化學工程(第二專長)	化學工程(第一專長),,,化工系108B  必修	
11110CHE 421001,單元操作實驗,Unit Operation Laboratory,2,30,0, ,,中,演習課R6789，教室R216。,,"CHE化工 211	T6T7T8T9
","蔡德豪	TSAI, DE-HAO
",,化工系大學部優先，第3次選課起開放全校修習,化學工程(第一專長),,,化工系108B  必修	
11110CHE 421002,單元操作實驗,Unit Operation Laboratory,2,30,0, ,,中,演習T6789，教室R216,,"CHE化工 212	R6R7R8R9
","潘詠庭	PAN, YUNG-TIN
",,化工系大學部優先，第3次選課起開放全校修習,化學工程(第一專長),,,化工系108B  必修	
11110CHE 455200,生物技術概論,Introduction to Biotechnology,3,,0, ,,英, ,,"CHE化工 209	M2R1R2
","胡育誠	HU, YU-CHEN
",,,,(跨領域)生物產業技術學分學程/(跨領域)生物科技管理學分學程,,化工系109B  必修	
11110CHE 485000,半導體材料與製造技術,Semiconductor Materials and Manufacturing Technology,3,,0, ,,中, ,,"CHE化工 212	M6M7M8
","謝昌志	HSIEH,CHANG-JYH
",,,,,,化工系108B  選修	
11110CHE 495000,專題研究一,Undergraduate Research (I),1,,0, ,,中,專題研究限大三下以後才可選修，第一次選專題研究一，指導教授限本系專任/合聘教授。,,,"指導教授	
",,限化工系大學部4年級,,,,化工系108B  選修	
11110CHE 496000,專題研究二,Undergraduate Research (II),1,,0, ,,中,專題研究限大三下以後才可選修，第一次選專題研究一，指導教授限本系專任/合聘教授。,,,"指導教授	
",,限化工系大學部4年級,,,,化工系108B  選修	
11110CHE 500100,分子工程一,Molecular Engineering (I),3,,0, ,,英,分工學程必修，開放其他系所選修。,,"CHE化工 211	M7M8M9
","周鶴修	CHOU, HO-HSIU
",,,,(跨領域)奈米科技學分學程,,化工系111M  選修	半導體學院111D  選修	半導體學院111M  選修	
11110CHE 501000,高等化工熱力學,Advanced Chem. Engineering Thermodynamics,3,,0, ,,英,授課教師：林昆翰,,"CHE化工220	R5R6R7
","聘任中	
",,,,(跨領域)先進能源研究生學分學程,,化工系111M  選修	
11110CHE 503000,高等化學反應工程,Advanced Chemical Reaction Engineering,3,40,0, ,,英, ,,"CHE化工202	R2R3R4
","衛子健	WEI, TZU-CHIEN
",,,,(跨領域)先進能源研究生學分學程,,化工系111M  選修	
11110CHE 507000,化工原理一,Chemical Engineering Principles (I),3,,0, ,,英,碩士班非化工系畢業及博士班非化工背景者必修,,"CHE化工220	F2F3F4
","蔡德豪	TSAI, DE-HAO
",,,,,,化工系111M  選修	
11110CHE 509000,書報討論,Seminar,1,165,0, ,,中,授課教師：林昆翰,,"CHE化工 B18	W7W8
","聘任中	
",,限化工系碩士班博士班,,,,化工系111D  必修	化工系111M  必修	
11110CHE 512100,石油化學工業,Petroleum Chemistry,3,30,0, ,,中, ,,"CHE化工 210	M7M8M9
","谷家嵩	 
",,,,,,化工系111M  選修	
11110CHE 512600,代謝工程與生質化學品概論,Metabolic Engineering and Renewable Chemical Production,3,25,0, ,,英, ,,"CHE化工 621	T6T7T8
","沈若樸	SHEN, CLAIRE-ROAPU
",,,,(跨領域)生物產業技術學分學程,,化工系111M  選修	
11110CHE 516500,溫室氣體減量技術,Greenhouse gas control technologies,2,60,0, ,,英, ,,"CHE化工202	F3F4
","林育正	YU-JENG LIN
",,限碩士班博士班,,,,化工系111M  選修	
11110CHE 517000,高等程序控制,Advanced Process Control,3,,0, ,,中, ,,"CHE化工220	W2W3W4
","鄭西顯	JANG, SHI-SHANG
",,,,,,化工系111M  選修	
11110CHE 520000,論文研究,Thesis,0,,0, ,,中,限化工系碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除碩士班1年級,,,,化工系111M  必修	
11110CHE 522500,小角度散射原理與應用,Principles and Applications of Small Angle Scattering,3,,0, ,,英, ,,"CHE化工220	T2T3T4
","陳信龍	CHEN, HSIN-LUNG
",,,,,,化工系111M  選修	
11110CHE 525000,化工中的數據科學與人工智慧,Data science and artificial intelligence in chemical engineering,3,30,0, ,,中, ,,"CHE化工 209	M7M8M9
","姚遠	YAO, YUAN
",,,,,,化工系111M  選修	
11110CHE 533000,同步輻射在物質結構上的應用,Synchrotron applications in structural analysis,3,15,0, ,,中, ,,"CHE化工 421	M6M7M8
","鄭有舜	JENG, U-SER
",,,,,,化工系111M  選修	
11110CHE 541200,人工器官與組織工程,Artificial Organs and Tissue Engineering,3,,0, ,,中, ,,"CHE化工202	T2T3T4
","宋信文	SUNG, HSING-WEN
",,,,(跨領域)生物產業技術學分學程,,化工系111M  選修	
11110CHE 545400,高等高分子化學,Advanced Polymer Chemistry,3,25,0, ,,英,已修CHE 545300「高分子設計與合成」者不宜選修,,"CHE化工202	T5T6T7
","堀江正樹	MASAKI HORIE
劉英麟	LIU, YING-LING
",,,,,,化工系111M  選修	半導體學院111D  選修	半導體學院111M  選修	
11110CHE 554000,微流體系統於化工之應用與實作,Microfluidic System: Application and Implementation in Chemical Engineering,3,20,0, ,,中, ,,"CHE化工 210	T6T7T8
","黃振煌	HUANG, JEN-HUANG
",,,,,,化工系111M  選修	
11110CHE 579500,有機光電,Organic Electronics,2,,0, ,,英, ,,"CHE化工 621	M7M8
","陳壽安	CHEN, SHOW-AN
",,,,,,化工系111M  選修	
11110CHE 703000,論文研究,Thesis,0,,0, ,,中,限化工系博二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除博士班1年級,,,,化工系111D  必修	
11110CHEM100000,普通化學乙,General Chemistry (B),3,160,120, ,,中,"每週150分鐘,其餘為彈性補課時間。普化一及普化乙不同,不能互抵",,"ENG I工一 107	M3M4W1W2
","王育恒	WANG, YU-HENG
",,"限動機系大學部,原科院學士班大學部",工程與系統科學(第一專長),,,原科院學士班111B  必修	動機系111BA 必修	動機系111BB 必修	
11110CHEM101001,普通化學一,General Chemistry (I),3,160,160, ,,中,"普化一及普化乙不同,不能互抵, (含實中科學班)；每週150分鐘,其餘為彈性補課時間,",,"MXIC旺宏懷樸	M3M4W1W2
","廖文&#23791;	LIAW, WEN-FENG
",,"工學院學士班大學部1年級,化學系大學部1年級,理學院學士班大學部1年級優先，第3次選課起開放全校修習",化學工程(第一專長)	化學(第一專長)	醫學科學(第一專長)	生命科學(第一專長),,,化學系111B  必修	工學院學士班111B  必修	理學院學士班111B  必修	
11110CHEM101002,普通化學一,General Chemistry (I),3,165,165, ,,中,"普化一及普化乙為不同課程,不能互抵；每週150分鐘,其餘為彈性補課時間,",,"MXIC旺宏懷樸	W3W4F3F4
","洪嘉呈	HORNG, JIA-CHERNG
",,"生科院,醫環系大學部1年級優先，第3次選課起開放全校修習",化學工程(第一專長)	化學(第一專長)	醫學科學(第一專長)	生命科學(第一專長),,,醫環系111B  必修	醫科系111B  必修	生科系111B  必修	生科院學士班111B  必修	
11110CHEM101003,普通化學一,General Chemistry (I),3,140,140, ,,中,"每週150分鐘,其餘為彈性補課時間,普化一及普化乙不同,不能互抵",,"CHE化工 B18	M3M4W1W2
","黃國柱	HWANG, KUO-CHU
",,"化工系大學部1年級,物理系大學部1年級優先，第3次選課起開放全校修習",化學工程(第一專長)	化學(第一專長)	醫學科學(第一專長)	生命科學(第一專長)	物理(第一專長),,,化工系111B  必修	物理系111B A必修	物理系111B B必修	物理系111B C必修	
11110CHEM101004,普通化學一,General Chemistry (I),3,50,0, ,,英,"老師:楊自雄教師,普化一及普化乙為不同課程,不能互抵。每週150分鐘,其餘為彈性補課時間,",,"CHEM化   326	M3M4W1W2
","聘任中	
",,,化學工程(第一專長)	化學(第一專長)	醫學科學(第一專長)	生命科學(第一專長),,,化學系111B  必修	
11110CHEM103001,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   229	M5M6M7M8
","廖翊雅	LIAO, YI-YA
",,材料系大學部1年級清班優先，第3次選課起開放全校修習,化學工程(第一專長)	化學(第一專長),,,材料系111BA 必修	
11110CHEM103002,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   225	M5M6M7M8
","廖翊雅	LIAO, YI-YA
",,生科系大學部1年級優先，第3次選課起開放全校修習,化學工程(第一專長)	化學(第一專長),,,生科系111B  必修	
11110CHEM103003,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   229	T5T6T7T8
","廖翊雅	LIAO, YI-YA
",,"工學院學士班大學部1年級,醫科系大學部1年級,醫環系大學部1年級,原科院學士班大學部1年級,單號優先，第3次選課起開放全校修習",化學工程(第一專長)	化學(第一專長),,,醫環系111B  必修	醫科系111B  必修	工學院學士班111B  必修	原科院學士班111B  必修	
11110CHEM103004,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   225	T5T6T7T8
","廖翊雅	LIAO, YI-YA
",,"工學院學士班大學部1年級,醫科系大學部1年級,醫環系大學部1年級,原科院學士班大學部1年級,雙號優先，第3次選課起開放全校修習",化學工程(第一專長)	化學(第一專長),,,醫環系111B  必修	醫科系111B  必修	工學院學士班111B  必修	原科院學士班111B  必修	
11110CHEM103005,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   225	W5W6W7W8
","廖翊雅	LIAO, YI-YA
",,限化學系大學部,化學工程(第一專長)	化學(第一專長),,,化學系111B  必修	
11110CHEM103006,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   225	R5R6R7R8
","廖翊雅	LIAO, YI-YA
",,化工系大學部1年級優先，第3次選課起開放全校修習,化學工程(第一專長)	化學(第一專長),,,化工系111B  必修	
11110CHEM103007,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   229	R5R6R7R8
","廖翊雅	LIAO, YI-YA
",,材料系大學部1年級華班優先，第3次選課起開放全校修習,化學工程(第一專長)	化學(第一專長),,,材料系111BB 必修	
11110CHEM103008,普通化學實驗一,General Chemistry Laboratory (I),1,45,45, ,,中,"加簽限 9/08~9/15,逾時不受理,上課事宜教師會另email通知。加簽洽化207廖翊雅. 召集人蔡易州教授",,"CHEM化   225	F5F6F7F8
","廖翊雅	LIAO, YI-YA
",,"物理系大學部1年級,理學院學士班大學部1年級,單號優先，第3次選課起開放全校修習",化學工程(第一專長)	化學(第一專長)	物理(第一專長),,,物理系111B A必修	物理系111B B必修	物理系111B C必修	理學院學士班111B  必修	
